date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:46:59	63/63	---M--	200	added ('OK')	text/plain	date:Tue,%2001%20Aug%202023%2019:16:59%20GMT	https://fatfish.ca/robots.txt		(from )
00:47:00	186480/186480	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2015:46:50%20GMT	https://fatfish.ca/en/	D:/Wenoxo/New%20folder/fishh/fatfish.ca/en/index.html	(from )
00:47:00	1429/1429	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Jun%202023%2015:17:25%20GMT	https://fatfish.ca/wp-content/cache/min/1/wp-content/themes/fatfish/dist/styles/plugins.min.css?ver=1687965445	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/cache/min/1/wp-content/themes/fatfish/dist/styles/plugins.min5296.css	(from https://fatfish.ca/en/)
00:47:01	132270/132270	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Mar%202023%2014:41:38%20GMT	https://fatfish.ca/wp-content/themes/fatfish/img/og-image.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/themes/fatfish/img/og-image.jpg	(from https://fatfish.ca/en/)
00:47:01	89664/89664	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Mar%202023%2014:42:50%20GMT	https://fatfish.ca/wp-content/themes/fatfish/dist/node-vendor/jquery/dist/jquery.min.js?ver=3.6.0	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/themes/fatfish/dist/node-vendor/jquery/dist/jquery.minaf6c.js	(from https://fatfish.ca/en/)
00:47:01	256911/256911	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Jun%202023%2015:17:25%20GMT	https://fatfish.ca/wp-content/cache/min/1/wp-content/themes/fatfish/dist/styles/frontend.min.css?ver=1687965445	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/cache/min/1/wp-content/themes/fatfish/dist/styles/frontend.min5296.css	(from https://fatfish.ca/en/)
00:47:02	183/183	---M--	200	added ('OK')	application/javascript	date:Wed,%2028%20Jun%202023%2015:17:25%20GMT	https://fatfish.ca/wp-content/cache/min/1/wp-content/plugins/sitepress-multilingual-cms/res/js/cookies/language-cookie.js?ver=1687965445	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/cache/min/1/wp-content/plugins/sitepress-multilingual-cms/res/js/cookies/language-cookie5296.js	(from https://fatfish.ca/en/)
00:47:03	884/884	---MC-	200	added ('OK')	text/javascript	date:Tue,%2001%20Aug%202023%2019:17:03%20GMT	https://www.google.com/recaptcha/api.js?render=6LeQZs4kAAAAAH8tfG1Jvb3Qdf61bnDxMhcV0uR7&ver=6.2.2	D:/Wenoxo/New%20folder/fishh/www.google.com/recaptcha/apic9d4.js	(from https://fatfish.ca/en/)
00:47:03	71150/71150	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2028%20Jun%202023%2015:17:25%20GMT	https://fatfish.ca/wp-content/cache/min/1/ajax/libs/gsap/3.11.4/gsap.min.js?ver=1687965445	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/cache/min/1/ajax/libs/gsap/3.11.4/gsap.min5296.js	(from https://fatfish.ca/en/)
00:47:03	40589/40589	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2028%20Jun%202023%2015:17:26%20GMT	https://fatfish.ca/wp-content/cache/min/1/ajax/libs/gsap/3.11.4/ScrollTrigger.min.js?ver=1687965446	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/cache/min/1/ajax/libs/gsap/3.11.4/ScrollTrigger.min69a1.js	(from https://fatfish.ca/en/)
